,Unnamed: 0,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
181,181,2.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,6.0,15,1.0,1
182,182,4.0,1.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,3.0,15,2.0,1
183,183,1.0,1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1.0,15,2.0,0
184,184,1.0,1.0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,5.0,15,2.0,1
185,185,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,15,2.0,1
186,186,2.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,15,2.0,1
187,187,1.0,3.0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,3.0,15,1.0,1
188,188,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,15,2.0,1
189,189,1.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1.0,7,1.0,1
190,190,1.0,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,15,1.0,1
191,191,2.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,7,2.0,0
192,192,1.0,1.0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,6.0,15,1.0,1
193,193,1.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,15,2.0,1
194,194,2.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5.0,15,1.0,1
195,195,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.0,15,2.0,1
196,196,4.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1.0,15,2.0,0
197,197,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4.0,15,1.0,1
198,198,2.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,4.0,15,2.0,1
199,199,4.0,2.0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,4.0,15,1.0,1
200,200,4.0,1.0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,3.0,18,1.0,1
201,201,4.0,1.0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,4.0,18,2.0,1
202,202,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.0,15,1.0,1
203,203,3.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,2.0,18,1.0,0
204,204,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,3.0,7,1.0,1
205,205,4.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7.0,15,1.0,1
206,206,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,7,1.0,1
207,207,2.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.0,7,1.0,1
208,208,1.0,3.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,3.0,15,1.0,1
209,209,2.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.0,7,2.0,1
210,210,1.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,15,1.0,1
211,211,1.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3.0,15,1.0,1
212,212,2.0,1.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,5.0,15,2.0,1
213,213,3.0,1.0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,2.0,15,2.0,1
214,214,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,15,1.0,1
215,215,1.0,2.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,4.0,15,2.0,1
216,216,1.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4.0,15,1.0,0
217,217,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.0,15,1.0,1
218,218,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.0,15,1.0,1
219,219,4.0,2.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,6.0,15,1.0,0
220,220,4.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,6.0,15,2.0,1
221,221,1.0,1.0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,2.0,7,2.0,1
222,222,2.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,4.0,15,2.0,0
223,223,2.0,1.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5.0,7,1.0,1
224,224,3.0,1.0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2.0,7,1.0,1
225,225,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,6.0,15,2.0,1
226,226,3.0,1.0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,2.0,7,1.0,1
227,227,2.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.0,15,1.0,1
228,228,2.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2.0,7,2.0,1
229,229,2.0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3.0,15,2.0,0
230,230,4.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,15,2.0,0
231,231,2.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,18,1.0,1
232,232,1.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,4.0,7,1.0,1
233,233,1.0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3.0,18,1.0,1
234,234,3.0,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.0,7,1.0,1
