,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
11946,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0,1
11947,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1
11948,2.0,2.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0,1.0,1
11949,3.0,2.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,3.0,0,1.0,1
11950,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,0,2.0,1
11951,2.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,3.0,0,2.0,1
11952,4.0,2.0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,3.0,0,1.0,1
11953,4.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,3.0,0,1.0,1
11954,1.0,5.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0,2.0,1
11955,2.0,2.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,3.0,0,1.0,1
11956,2.0,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,3.0,0,1.0,1
11957,1.0,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,0,2.0,1
11958,4.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,2.0,1
11959,1.0,3.0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,3.0,0,1.0,1
11960,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.0,0,1.0,1
11961,1.0,2.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5.0,0,1.0,1
11962,1.0,2.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2.0,0,1.0,1
11963,2.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,1.0,1
11964,3.0,2.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2.0,0,1.0,1
11965,3.0,5.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6.0,0,2.0,1
