,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,D_AGE,Q16_a,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A9,Q15_2A10,Q15_2A11,Q15_2A12,Q10_2A1
1165,4.0,2.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1.0,4.0,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,5.0,5.0,2.0
1166,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,0,2.0,4.0,1,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,1.0
1167,5.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,3.0,0,1.0,3.0,1,5.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0
1168,3.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,1,2.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0
1169,,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,3.0,1,5.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,4.0,1.0
1170,4.0,1.0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,2.0,0,1.0,5.0,1,5.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,1.0
1171,3.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,0,2.0,2.0,1,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,1.0
1172,2.0,2.0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,2.0,1,2.0,1.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
1173,4.0,2.0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,2.0,0,2.0,2.0,1,3.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,1.0
1174,4.0,3.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1.0,0,1.0,3.0,1,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0
1175,,2.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3.0,0,1.0,4.0,1,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0
1176,3.0,1.0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,2.0,1,2.0,1.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
1177,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0,2.0,1,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,107.0
1178,2.0,1.0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,4.0,1,1.0,3.0,1,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,77.0
